"","label","50%","CrI"
"1","no_ltbi_qft",0.74,"0.7, 0.77"
"2","no_ltbi_tst",0.74,"0.7, 0.77"
"3","NPV_qft",0.96,"0.94, 0.98"
"4","NPV_qft_TST_pos",0.93,"0.89, 0.96"
"5","NPV_tspot",0.95,"0.93, 0.98"
"6","NPV_tspot_TST_pos",0.92,"0.89, 0.96"
"7","NPV_tst",0.88,"0.84, 0.92"
"8","p_accept_igra",0.99,"0.98, 1"
"9","p_accept_tst",0.96,"0.94, 0.98"
"10","p_qft_pos",0.24,"0.2, 0.27"
"11","p_qft_pos_tst_pos",0.34,"0.29, 0.41"
"12","p_tspot_pos",0.23,"0.2, 0.26"
"13","p_tspot_pos_tst_pos",0.34,"0.29, 0.4"
"14","p_tst_pos",0.54,"0.5, 0.58"
"15","PPV_qft",0.99,"0.97, 1"
"16","PPV_qft_TST_pos",0.99,"0.98, 1"
"17","PPV_tspot",0.99,"0.97, 1"
"18","PPV_tspot_TST_pos",0.99,"0.99, 1"
"19","PPV_tst",0.39,"0.33, 0.45"
"20","prev",0.26,"0.23, 0.3"
"21","sens_qft",0.88,"0.83, 0.94"
"22","sens_tspot",0.87,"0.82, 0.93"
"23","sens_tst",0.8,"0.74, 0.85"
"24","spec_qft",1,"0.99, 1"
"25","spec_tspot",1,"0.99, 1"
"26","spec_tst",0.55,"0.49, 0.61"
