"","from","to","name.cost","cost","name.prob","prob","name.health","health"
"1",1,2,"TB special nurse visit",44.31,NA,1,NA,NA
"2",2,3,"TST",18.62,"pAccept_TST",0.982,NA,NA
"3",2,32,NA,NA,NA,0.018,NA,NA
"4",3,4,"TB special nurse visit",44.31,"pTSTread",0.979,NA,NA
"5",3,29,NA,NA,NA,0.021,NA,NA
"6",4,5,"Total Cost of positive screening",241.23,"TST_pos",0.534,NA,NA
"7",4,24,NA,NA,NA,0.466,NA,NA
"8",5,6,NA,NA,"PPV_TST",0.482,NA,NA
"9",5,15,NA,NA,NA,0.518,NA,NA
"10",6,7,NA,NA,"pAccept_chemo",0.95,NA,NA
"11",6,13,NA,NA,NA,0.05,NA,NA
"12",7,8,"Hep",732.13,"pHep",0.002,"Hep",0.0275
"13",7,10,NA,NA,NA,0.998,NA,NA
"14",8,9,"Total (incomplete)",84.84,NA,1,"Total (incomplete)",0.00125
"15",10,11,"Total (complete)",169.68,"pComp_chemo",0.8,"Total (complete)",0.0025
"16",10,12,"Total (incomplete)",84.84,NA,0.2,"Total (incomplete)",0.00125
"17",13,14,NA,NA,NA,1,NA,NA
"18",15,16,NA,NA,"pAccept_chemo",0.95,NA,NA
"19",15,22,NA,NA,NA,0.05,NA,NA
"20",16,17,"Hep",732.13,"pHep",0.002,"Hep",0.0275
"21",16,19,NA,NA,NA,0.998,NA,NA
"22",17,18,"Total (incomplete)",84.84,NA,1,"Total (incomplete)",0.00125
"23",19,20,"Total (complete)",169.68,"pComp_chemo",0.8,"Total (complete)",0.0025
"24",19,21,"Total (incomplete)",84.84,NA,0.2,"Total (incomplete)",0.00125
"25",22,23,NA,NA,NA,1,NA,NA
"26",24,25,NA,NA,NA,0.147,NA,NA
"27",24,27,NA,NA,"NPV_TST",0.853,NA,NA
"28",25,26,NA,NA,NA,1,NA,NA
"29",27,28,NA,NA,NA,1,NA,NA
"30",29,30,NA,NA,"pLTBI",0.326,NA,NA
"31",29,31,NA,NA,NA,0.674,NA,NA
"32",32,33,NA,NA,"pLTBI",0.326,NA,NA
"33",32,34,NA,NA,NA,0.674,NA,NA
