age,pDeath_male,LifeExp_male,pDeath_female,LifeExp_female,pDeath_mean,pDeath_TB,pProgTB,QOL_age
18,0.000417,61.6,0.000199,65.24,0.00031,0.012,0.0056,0.93
19,0.000475,60.62,0.000209,64.26,0.00034,0.012,0.0056,0.93
20,0.000462,59.65,0.000202,63.27,0.00033,0.012,0.0056,0.93
21,0.000491,58.68,0.000204,62.28,0.00035,0.012,0.0056,0.93
22,0.000471,57.71,0.000213,61.29,0.00034,0.012,0.0056,0.93
23,0.000541,56.73,0.000232,60.31,0.00039,0.012,0.0056,0.93
24,0.00054,55.76,0.000215,59.32,0.00038,0.012,0.0056,0.93
25,0.000584,54.79,0.000252,58.33,0.00042,0.012,0.0056,0.93
26,0.000615,53.83,0.000279,57.35,0.00045,0.012,0.0056,0.93
27,0.000638,52.86,0.000263,56.36,0.00045,0.012,0.0056,0.93
28,0.000629,51.89,0.000326,55.38,0.00048,0.012,0.0056,0.93
29,0.000682,50.92,0.000337,54.4,0.00051,0.012,0.0056,0.93
30,0.00073,49.96,0.000382,53.41,0.00056,0.012,0.0056,0.93
31,0.000762,49,0.000414,52.43,0.00059,0.012,0.0056,0.93
32,0.000873,48.03,0.000445,51.46,0.00066,0.012,0.0056,0.93
33,0.000866,47.07,0.000472,50.48,0.00067,0.012,0.0056,0.93
34,0.00095,46.11,0.000526,49.5,0.00074,0.012,0.0056,0.93
35,0.001027,45.16,0.000586,48.53,0.00081,0.012,0.0056,0.91
36,0.001088,44.2,0.000654,47.56,0.00087,0.012,0.0042,0.91
37,0.001187,43.25,0.000669,46.59,0.00093,0.012,0.0042,0.91
38,0.001363,42.3,0.000745,45.62,0.00105,0.012,0.0042,0.91
39,0.001403,41.36,0.000829,44.65,0.00112,0.012,0.0042,0.91
40,0.001554,40.42,0.00091,43.69,0.00123,0.012,0.0042,0.91
41,0.001659,39.48,0.000949,42.73,0.0013,0.012,0.0042,0.91
42,0.001777,38.54,0.001076,41.77,0.00143,0.012,0.0042,0.91
43,0.001854,37.61,0.001161,40.81,0.00151,0.012,0.0042,0.91
44,0.002066,36.68,0.001277,39.86,0.00167,0.012,0.0042,0.91
45,0.002246,35.75,0.001394,38.91,0.00182,0.048,0.0042,0.85
46,0.002378,34.83,0.001479,37.96,0.00193,0.048,0.0042,0.85
47,0.00256,33.92,0.001611,37.02,0.00209,0.048,0.0042,0.85
48,0.002688,33,0.001747,36.08,0.00222,0.048,0.0042,0.85
49,0.003004,32.09,0.001902,35.14,0.00245,0.048,0.0042,0.85
50,0.003221,31.18,0.002163,34.21,0.00269,0.048,0.0042,0.85
51,0.003463,30.28,0.002308,33.28,0.00289,0.048,0.0042,0.85
52,0.003701,29.39,0.002526,32.35,0.00311,0.048,0.0042,0.85
53,0.004033,28.49,0.002795,31.44,0.00341,0.048,0.0042,0.85
54,0.004489,27.61,0.002995,30.52,0.00374,0.048,0.0042,0.85
55,0.004868,26.73,0.003362,29.61,0.00412,0.048,0.0042,0.8
56,0.005348,25.86,0.003623,28.71,0.00449,0.048,0.0017,0.8
57,0.005981,24.99,0.004,27.81,0.00499,0.048,0.0017,0.8
58,0.00658,24.14,0.004241,26.92,0.00541,0.048,0.0017,0.8
59,0.007286,23.3,0.004695,26.04,0.00599,0.048,0.0017,0.8
60,0.008077,22.47,0.005234,25.16,0.00666,0.048,0.0017,0.8
61,0.008721,21.64,0.005719,24.29,0.00722,0.048,0.0017,0.8
62,0.009593,20.83,0.00621,23.42,0.0079,0.048,0.0017,0.8
63,0.010487,20.03,0.006801,22.57,0.00864,0.048,0.0017,0.8
64,0.011469,19.23,0.007308,21.72,0.00939,0.048,0.0017,0.8
65,0.012331,18.45,0.007988,20.87,0.01016,0.176,0.0017,0.78
66,0.013051,17.68,0.008481,20.04,0.01077,0.176,0.0017,0.78
67,0.014401,16.9,0.009481,19.2,0.01194,0.176,0.0017,0.78
68,0.015802,16.14,0.010672,18.38,0.01324,0.176,0.0017,0.78
69,0.017813,15.39,0.011647,17.58,0.01473,0.176,0.0017,0.78
70,0.019495,14.66,0.013015,16.78,0.01626,0.176,0.0017,0.78
